RADDOSE Image Number, DWD Angle, DWD, Vol, 1A RDE, 2A RDE, 3A RDE, 4A RDE, max res RDE
69.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
